unit_order,unit_id,unit_title,P3465,P3473,BWII672,R2536,I344,P3471,P400,P3475,CCCP578,P5881,A4095,L8751,B0022,P3466
11,5d4b775d-0b75-421e-8f53-96bdcd51a80c,Competent Vizier,,وينبغي أن يكون وزير المَلك عاقلًا أمينًا على الأسرار ناصحًا للملوك في سائر الأمور فيعطي المَلك الظفر على قدر خصمائه [وا] والغلبة على أعدائه برأي وزيره,وينبغي أن يكون وزير المَلك عاقلًا أمينًا على الأسرار ناصحًا للمَلك في سائر أمره فيعطي المَلك الظفر والفرج مع من يخاصمه والغلبة على عدوّه برأي وزيره,وإن كان المَلك عالمًا وكان مشاوره حكيمًا عالمًا أمينًا ناصحًا أُعطي العقل والظفر والفلاح ولم يزل في خير وسعادة من الجدّ وظفر بعدوّه ولم يظفر به عدوّه,وإن *كان المَلك عالمًا وكان مشاوره حكيمًا ناصحًا أُعطي الظفر والعقل *والفلاح ولم يزل في خير وسعادة من الجدّ وظفر بعدوّه,وإذا كان الملك عاقلًا وكان مشاوره حكيمًا شجاعًا أمينًا ناصحًا أُعطي الفضل والظفر *والفلح ولم يزل في خير وسعادة من الجدّ ولم يظفر به عدوّه وظفر هو به,,,,,,,وكان مشاوره لبيبًا عاقلًا عارفًا بعواقب الأمور أمينًا على سرّه ناصحًا لملكه ربّما أعانه ما يكون من غرّة العقل على نظام الأمر والفلاح فيما يرومه ويحاوره صعب أو مخاصمة بدو,وكان مشاوره لبيبًا أمينًا على سرّه عالمًا بالأمور ناصحًا لملكه في سائر أموره ثمّ أعانه القضاء أصاب الظفر في كلّ عمل والفلاح على من خاصم والغلبة لمن ناؤه والصلاح في أمره كلّه
12,d6631f74-1a9d-4ffc-bcba-9387a34f8189,Vizier Protects King,,,,ولو أراد أمرًا عسى أن يكون له ضارًّا ولعدوّه نافعًا خلص من ذلك برأي وزرائه وأصاب حاجته,ولو أراد أمرًا غَشّا أن يكون له ضاررًا ولعدوّه نافعًا خلص من ذلك برأي وزرائه وأصحاب حاجته,ولو أراد أمرًا ما عسى أن يكون له ضارًّا ولعدوّه نافعًا خلص من ذلك برأي وزرائه وأصاب حاجته,,,,,,,وإن هو أراد اتّباع هواه ربّما ضرّ نفسه وصاحبه ونفع عدوّه وخلص من ذلك برأي وزرائه وعملهم وظفر بعدوّه وأصاب حاجته,وإن هو أراد اتباع هواه في أمر يضرّه وينفع عدوّه خلص من ذلك برأي وزرائه وعلمهم وظفر بعدوّه وأصاب منه حاجته
13,fd8d4462-daf7-492a-b412-095e28c27d92,King And Vizier Tale Mention,,كما ذُكر من شأن مَلك الهند,كما ذكر †منسان مَلك الهند,كالذي كان بين مَلك الهند ووزيره وهليث امرأته,كالذي كان من المَلك ووزيره في صلبت امرأته,كالذي كان بين سادوم ملك الهند وامرأته إبرخت وإيلاذ صاحب رأيه وسرّه,كما زُعم لَنَا ما كَان بين مَلك الهِند وبين بلَار وَامرَأتِه,كما زعموا أنّه كان بين إبلاد ملك الهند وبراخت امرأته وبلاذ صاحب سرّه ورأيه,كما زُعم لنا ممّن كان بين سادروم ملك الروم وبين إبلاد امرأته وبلاد صاحب سرّه ورأيه,كما حُكي لنا ما كان عن شادارم مَلك الهند وبين إيلاد امرأته وبلاد صاحب سرّه ورأيه,كما زُعم لنا فيما كان بين شادرم مَلك الهند وإيراخت امرأته وإيلاذ صاحب سرّه ورأيه,كما زعم لنا ممّا كان بين شَادرم ملك الهند وبين إبراخت امرأته وإيلاد صَاحَب سرّه وَرأَيه,كما حكي لنا عمّا كان بين شارم ملك ... وامرأته ابراخت وبلاذ صاحب سرّه ورأيه,كما حكي لنا عمّا كان بين شادرم ملك الهند وامرأته ابراخت وبلاذ صاحب سرّه ورأيه
14,fd9e3d9f-169a-41ff-9259-3f9767999d54,King Requests Story,,قال الفيلسوف وكيف كان ذلك,قال المَلك وكيف كان ذلك,قال المَلك وكيف كان ذلك,قال المَلك وكيف كان ذلك [والله] [أعلم],قال الملك وكيف كان ذلك,,قال الملك وكيف كان ذلك,فقال الملك وكيف كان ذلك,قال المَلك وكيف كان ذلك,قال المَلك وكيف كان ذلك,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك
15,a10ec34d-ec0c-43a7-9149-09eb92d8b400,King And Vizier Tale,كالذي زعموا أنّه كان مَلك يُدعى بلاذ وكان له وزير يُدعى إيلاد,قال الفيلسوف زعموا أنّ رجلًا كان يُدعى إيلاذ ورجلًا يُدعى بلاد,قال الفيلسوف زعموا أنّ رجلًا يُدعى بإيلاد ورجلًا آخر يُدعى ببيلاد وكانا من حكماء الزمان,قال الفيلسوف كان مَلك من ملوك الهند عظيم القدر رفيع المنزلة مظفّرًا بأحسن التدبير قائمًا بسلطانه وكان له وزير يُدعى بلاذ,قال الفيلسوف كان رجل من الملوك بالهند عظيم المنزلة مظفّرًا حسن التدبير قائمًا بسلطانه وكان له وزير يُسمّى بلاد,قال الفيلسوف كان رجل من ملوك الهند يسمّى سادوم عظيم المنزلة مظفّرًا حسن التدبير لأمره قائم بسلطانه وكان له وزيرًا يدعى إيلاذ,,,,,,,,قال الفيلسوف زعموا أنّ رجلًا كان يدعى بلاذ
16,2ed22a00-04d0-4269-94ca-2324ac48326e,Pious Vizier,وكان متعبّدًا ناسكًا,وكان رجلّا ناسكًا مجتهدًا في العبادة حسن الخلق,إلّا أنّ إيلاد كان رجل ناسكًا زاهدًا مجتهدًا في العبادة حسن الخلقة والخلق وكان عند المَلك جليل القدر عالي الذكر,,,وكان الوزير ناسكًا مجتهدًا في الطاعة لله وللملك لله وللملك كاملًا في حسن الخلق رفيقًا لبيبًا عليمًا كريمًا عاملًا بالعلم,كان ناسكًا مجتهدًا حَسَن الخُلق لَبيبًا حليمًا كَامِلًا عالِمًا,قال فيلسوف ذُكر لنا أنّ بلاذ كان ناسكًا مجتهدًا حسن الخلق لبيبًا حليمًا عاقلًا كاملًا,قال الفيلسوف أيّها الملك ذُكر لنا أنّ بلادًا كان ناسكًا مجتهدًا حسن الخلق لبيبًا عالمًا كاملًا في جميع خصاله,قال الفيلسوف ذُكر لنا أنّ بلاد كان ناسكًا مجتهدًا في العبادة وكان لبيبًا حسن الخلق حليمًا عليمًا كامل العقل والأدب,قال الفيلسوف ذُكر لنا أنّ إيلاذ كان ناسكًا مجتهدًا حسن الخلق ليّنًا حليمًا حكيمًا كاملًا,قال الفيلسوف ذُكر لنا أن إيلاد كان ناسكا مجتهدًا حسن الخُلق لبيبا حليما كاملا,وكان ناسكًا مجتهدًا لبيبًا حليمًا عالمًا كاملًا في جميع أموره,وكان ناسكًا مجتهدًا لبيبًا حليمًا عالمًا كاملًا في جميع أموره
17,84ad3526-e5cb-41c0-a03a-d233f3b9f2b6,King Dreams,فنام الملك ذات ليلة فرأى في منامه ثمانية أحلام أفزعته فاستيقظ مرعوبًا,فبينما المَلك نائم في غرفة له كانت وفي ذات يوم إذ قام المَلك من منامه مرعوبًا مذعورًا فَزِعًا ثمّ عاد <إلى> نومه ثمّ قام كذلك مرارًا وهو أنّه رأى في منامه ثلاثة أحلام,فبينما المَلك ذات ليلة نائم في غرفته فانتهض من منامه مرعوبًا فزعًا ثمّ تعوّذ ونام فرأى احتلام آخر ثمّ تكرّر ذلك مرارًا وكان رأى في منامة ثلاثة أحلام أراعته,وكان المَلك نائمًا على فراشه فرأى في المنام رؤيا سبع مرّات ثمّ انتبه وعادت إليه,وإنّ المَلك كان نائمًا ذات ليلة على فراش له فرأى في المنام رؤيا سبعة مرار ثمّ انتبه فعادت عليه ثمّ انتبه فعادت عليه ثمّ انتبه فعادت عليه,فبينما الملك ذات ليلة نائمًا على فراش له في غرفة فرأى في المنام رؤيا سبع مرّات يستيقظ عند كلّ مرّة منها ثمّ يفيق فتعاوده في الثانية,فبينَما الملك نائمًا على السّرِير يعني سَرير مُلكِه إذْ رأى في منَامِه ثَمانية أحلام فاستيقَظ عند كلّ واحد منها,فبينا الملك نائمًا ذات ليلة في غرفة له إذ رأى تسعة أحلام ينتبه عند آخر كلّ حلم منها,فبينما الملك نائم إذ رأى ثمانية أحلام يستيقظ عند كلّ حلم,فبينما المَلك نائمًا في غرفة له إذ رأى ثمانية أحلام يستيقظ عند رؤية كلّ منام منها,فبينما شادرم المَلك نائمًا في بعض الليالي إذ رأى ثمانية أحلام يستيقظ عند كلّ منها,فبينما شادرم الملك ذات ليلة في غرفة إذ رَأى ثمانية أحَلام يستيقظ عند كل حُلم مِنهَا,فبينما الملك ذات ليلة إذ رأى في منامه ثمانية أحلام يستيقظ عند كلّ حلم منها,فبينما الملك ذات ليلة نائمًا في غرفة له إذ رأى في منامه ثمانية أحلام يستيقظ عندّ كلّ حلم منها
18,8e64af3b-4400-49a6-8b4c-c3134d7cb974,Dreams,,,,وكان الذي رأى في منامه سمكتين حمراوتين قامتا على أذبابهما وبطّتين قامتا على رأسه وحيّة وثبت على رجليه ورأى أنّ جسده قد خُضّب بالدم وأنه غسل جميع بدنه بالماء ورأى أنّه قائم على جبلٍ أبيض ورأى أنّ على رأسه شبيهًا بالنار ورأى طائرًا أبيض ينقر رأسه,وكان رأى في منامه سمكتين حمراوتين يستقبلانه على أذنابهما وبطّتين طارتا من خلفه فصارتا بين يديه وحيّة ثُنيت على رجليه ورأى جسمه مخضّبًا بالدم وأنه غسل جميع بدنه بالماء ورأى أنّه قائم على خيل أبيض ورأى على رأسه شيء شبيهًا بالنار ورأى طيرًا أبيضًا ينقر رأسه بمنقاره والله تعالى أعلم بالصواب,وكان الذي رأى في منامه سمكتين حمراوتين قائمتين يستقبلانه على أذنابهما وبطّتين طارتا من خلفه فصارتا بين يديه وحيّة دبّت على رجليه ورأى جسمه خُضّب بالدم وأنّه غسل جميع جسمه بالماء ورأى أنّه قائم على جبل أبيض ورأى أنّ على رأسه شيئًا شبيهًا بالنار ورأى طيرًا أبيضًا نقر رأسه بمنقاره,,,,,,,,
19,da5095e2-7788-49f2-8c3b-2dff17f743a9,King Summons Brahmins,فدعى بالبراهمة وهم النسّاك,فلمّا استيقظ جمع الحكماء البراهمة,فلمّا استيقظ جمع البراهمة والعلماء,فلمّا انتبه دعا قومًا من أهل ملّة,فدخلوا عليه وكان نفاهم من بلادهم وقتلهم يُقال,فلمّا استيقظ دعا قومًا من أهل ملّة,فدعا البرهميّين وَهُم النُسّاك,فلمّا أصبح دعا البرهميّين وهم النسّاك,فلمّا أصبح الملك أدعى البرهميون وهم النسّاك,فلمّا أصبح دعا البرهمانيّون وهم النسّاك,فلمّا أصبح دعا بالبرهميّين وهم النسّاك,فلمّا استيقظ دعا البراهميين وَهُم النسّاك,فلمّا أصبح دعا البراهمة وهم النساك,فلمّا أصبح دعا البرهميّين وهم النسّاك
20,2e9987aa-5baa-42f1-bd79-978352ebd9b5,King Had Killed Brahmins,,,,قد كان أفناهم وتتبّعهم حتّى أفناهم وأبادهم عن بلاده وقتلهم يُقال لهم البرهمين فأتوه بعد طلب منه لهم شديد,قد كان أفناهم وتتبّع أهلها حتّى أبادهم فأتوه بعد طلب منه لهم شديد فدخلوا عليه وكان نفاهم من بلادهم وقتلهم يُقال لهم البرهميّون,كان أفناهم وتتبّع أهلهم حتّى أفناهم ونفاهم عن بلاده وملكه وقتلهم يقال لهم البرهميّون †فأتون بعد طلب منه لهم شديد,,,,,,,,
