unit_order,unit_id,unit_title,I344,R2536,P400,P3465,P5881,P3475,P3473,R2407,BWII672,A4095,P3466,CCCP578,L8751,L4044,P3471
21,65d548ad-2527-4090-af4a-af93b61c4a31,The Rat Decides on a Pact with the Cat,وقد نظرت فلا أعلم حيلة في هذا الشرّ ولا نجاة ممّا أنا فيه إلّا مصالحة هذا السنّور فإنّه قد أصابه من الشرّ ما لا يستطيع أحدًا أن يقدر يخلّصه منه غيري فلعلّ السنّور أن يصالحني لنفع نفسه فأتخلّص منه أيضًا من هذا الشرّ الذي أنا فيه ومشرف عليه,أمره ثمّ قال لا أرى حيلة أبلغ من التماس صلح السنّور فإنّه قد أصابه من الشرّ ما لا يستطيع أحد أن يخلّصه منه غيري فلعلّه يصالحني لنفع نفسه فأتخلّص به أيضًا من هذا !الشرف الذي أنا مشرف عليه,ولا أرى حيلة أحسن من التماس صلح السنّور فإنّه قد نزل به فادح ولعلّي عنّي وطمع في معيشتي ولعلّه يكون في ذلك لي وله نجاة,ولست أرى لي من هذا البلاء مخرجًا إلّا مصالحة السنّور فإنّه قد نزل به من البلاء مثل ما قد نزل بي أو بعضه ولعلّه إن سمع كلامي الذي أكلّمه به ووعي عنّي فصيح خطابي ومحض صدقي الذي لا خلاف فيه ولا خداع معه فهمه وطمع في معونتي إيّاه فنتخلّص جميعًا,ولا أرى رأيًا أفضل من أن ألتمس صلح السنّور فإنّه قد نزل به مثلما نزل بي ولعلّي أقدر على خلاصه من ذلك ولو أنّه قد سمع ما أنا قائل له من الكلام الصحيح الذي لا خداع فيه لعلّه يفهمه عنّي ويسلّم بذلك لصلحي ولعلّ <أن> يكون في ذلك لي وله نجاة,ثمّ قال إنّي لا أرى حيلة أمثل ولا أصلح من مصالحة السنّور إذ قد نزل به البلاء فلعلّي أقدر على خلاصه ولعلّه أن لو قد سمع منّي من الكلام الصادق الصحيح الذي لا خداع فيه أن يفهم ويسمع منّي ويثق بمعونتي له ويسلس لذلك الصلح ولعلّه من السنّور بصلاح,وإنّه لا ينبغي لي إلّا صلح السنّور فإنّه قد نزل به من البلاء مثل الذي بي ولعلّه لو سمع كلامي الذي أكلّمه من القول الصحيح الصادق الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي ويستبشر بصلحي ولعلّه أن يكون لي وله خلاص ممّا نحن فيه,ولا ينبغي لي إلّا صلح السنّور فإنّه قد نزل به من البلاء مثل الذي نزل بي ولعلّه لو سمع كلامي الذي أكلّمه من القول الصحيح الصادق الذي لا خداع فيه أن يفهم عنّي وأن يطمع في معونتي ويستبشر بصلحي ولعلّه أن يكون لي وله في ذلك خلاص ممّا نحن فيه,وأحسن ما يكون من عقلي الآن إلّا صلح السنّور فإنّه قد نزل به من البلاء مثل ما بي ولعلّه لو سمع كلامي الذي أكلّمه به من القول الصحيح الصادق الذي لا خداع فيه ولا فساد ينافيه أن يفهم منّي وأن يطمع في معونتي إيّاه ويستبشر بصلحي ولعلّ أن يكون لي وله في ذلك نجاة ممّا نحن فيه,ثمّ قال لا أرى حيلة أمثل من التماس صلح السنّور فإنّ السنّور قد نزل به بلاء ولعلّي أقدر على صلاحه ولعلّه لو قد سمع منّي ما أكلّمه به من الكلام الصحيح الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي ويستلين لذلك بصلحي ولعلّي يكون له ولي في ذلك نجاة,ثمّ قال لا أرى في حيلة أفضل من التماس صلح السنّور فإنّ السنّور قد نزل به من البلاء ما لا يستطيع أحد أن يخلّصه غيري ولعلّه لو قد [[قد]] سمع منّي ما أكلّمه به من الكلام الصادق الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي فيصالحني لنفع نفسه فيكون لي وله في ذلك خلاص,ولا حيلة أمثل من التماسي صلح السنّور فإنّه قد نزل به قادح ولعلّي أقدر على تخليصه ولو قد سمع ما أنا قائل له من الكلام الصحيح الذي لا خداع فيه لفهمه عنّي وطمع في [[مودّتي]] معونتي ولعلّه يكون لي وله في ذلك نجاة,ثمّ قال لا حيلة أمثل من التماس صلح السنّور فإنّ السنّور قد نزل به بلاء ولعلّي أقدر على خلاصه وإنّه لم يستمع منّي ما أكلّمه به من الكلام الصحيح الصادق الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي ويسايس بذلك في صلحي ولعلّه يكون لي وله خلاص في ذلك,ثمّ قال في نفسه لا أرى حيلة أمثل من التماس صلح السنّور وقد نزل به بلاء شديد وأنا أقدر بإذن الله تعالى على خلاصه ولعلّه لو قد سمع ما أريد أن أكلّمه به من صحيح الكلام الذي لا خداع فيه ولا مماكرة ولا تقريعًا أن يفهم عنّي ويعرف منفعة ما أصف له وأدعوه فلعلّ يطمع في معونتي إيّاه في خلاصه فيصالحني فعسى أن يكون له ولي في ذلك صلاح وخلاص,وقد نظرت فلا أعلم لي حيلة في هذا الشرّ والنجاة منه أمثل من التماس صلح السنّور فإنّه قد نزل به بلاء فادح وأصابه من الشرّ مالا يستطيع أحد أن يخلّصه منه غيري ولعلّه لو قد يسمع منّي ما أنا قائل له من الكلام الصحيح الصادق الذي لا خداع فيه أن يفهم عنّي ويطمع في معونتي ويسكن لذلك بصلحي لنفع نفسه فأتخلّص به أيضًا من هذا الشرّ الذي أنا مشرف عليه ويكون له ولي في ذلك نجاة
22,b62e8a87-9c68-40f2-81f5-b44a4ecdf321,The Rat Comes Up to the Cat,ثمّ نادى السنّور وقال كيف أنت أيّها السنّور,ثمّ دنا من السنّور فقال له كيف حالك,ثمّ دنا منه فقال له كيف حالك,ثمّ أنّ الجرذ دنا من السنّور فقال له كيف حالك,قال ثمّ دنا الجرذ من السنّور فقال له كيف أصبحت وكيف حالك,ثمّ دنا من السنّور قال له كيف حالك,ثمّ إنّه دنا من السنور فقال له كيف حالك,ثمّ إنّه دنا من السنّور وقال له كيف حالك,ثمّ إنّه دنا من السنّور وقال له كيف حالك,ثمّ دنا منه فقال كيف حالك,,ثمّ إنّ الجرذ دنا من السنّور فقال له كيف,ثمّ دنا من السنّور فقال كيف حالك,ثمّ دنا من السنّور فقال له كيف حالك,ثمّ دنا من السنّور فناداه فقال أيّها السنّور كيف حالك
23,a66a2ffc-f6d7-44a8-83fa-dfa57a44956b,The Cat Acknowledges Being Trapped ,فقال السنّور ها أنت ترى ما أنا فيه من الضيق فما موضع مسلكك إيّاي,فقال كالذي تهواه من الضنك والضيق فما مساءلتك إيّاي,قال له السنّور كالذي تهوى في الضيق والضنك,قال كما تحبّ في ضنك وضيق,قال له السنّور وما حال من هو في الضيق,اثنين أحدهما أن لا يثق به والآخر,قال كالذي يحبّ الصيّاد,قال كالذي تحبّ من الصيّاد,قال له كالذي تحبّ من الصيّاد,فأجابه السنّور كالذي تهوى في الضنك والضيق,أفضل من التماس صلح السنّور فإنّ السنّور قد نزل به,حالك فقال كالذي ترى وتهوى في الضيق والضنك,قال كالذي تهوى في الضيق والضنك,قال السنّور حالي ما تهوى من الضيق والضنك,قال كالذي تراه في الضيق والضنك وقد تراني كذلك فما مساءلتُك إيّاي
24,d49ef126-c512-4c85-b2e4-8a8fd4f565f7,The Rat Resolves to Be Sincere,,,,,قال الجرذ في نفسه والله لا أكذّبه شيئًا ممّا في ضميري,,,,,,,,,,
25,cd7fe811-83d4-46ba-94f5-5ca14991330c,The Rat Points Out Their Common Problem,قال الجرذ لا أكذب فإنّ الكذب مكروه ولربّما كنت أحبّ أن يضيق عليك أمرك ويقرب منك أجلك ولكنّه قد نزل بي من الشرّ ما لا *يسرّني معه ضيق مكانك وليس أحد أقدر على تخليصي من هذه الأمور الذي أنا فيه ومن الهول الذي أشرفت عليه منك وأنت أيضًا ليس أحد هو أقدر على تخليصك من هذا المكان منّي,قال الجرذ لا أكذب فإنّ الكذب مكروه عند العلماء وربّما كنت أحبّ أن يضيق عليك أمرك ويقرب منك أجلك ولكنّي قد نزل بي من الشرّ ما لا يسرّني أن يضيق مكانك ولا موتك وليس أحد أقدر منّي على خلاصك,قال الجرذ لعمري لقد كان يسوءني ما يسرّك ولربّما كنت أحبّ يضيق عليك أمرك ويقرب منك أجلك ولكنّه قد نزل بي من الشرّ ما لا يسرّني معه ضيق مكانك ولا موتك وأنت أيضًا ليس أحد أقدر على تخليصك من هذا المكان منّي,قال وأنا اليوم شريكك في البلاء ولست أرجو لنفسي خلاصًا إلّا بالذي أرجو لك من الخلاص وكلامي هذا ليس فيه كذب ولا خديعة,قال الجرذ والله قد كنت وأنا مخلصًا يسرّني ما صنعوه لكنّني قد شاركتك في البلاء فلست أرجو لنفسي خلاصًا إلّا بالذي أرجوه لك فأعطفني ذلك عليك,قال الجرذ لعمري لقد كنت يسرّني ما ساءك وأرى ما أضاق عليك سعة ولكنّي قد شاركتك في البلاء فلا أرجو لنفسي حالًا أتخلّص بها إلّا بما أرجو لك به الخلاص,فقال الجرذ لا أكذّبك لعمري وإنّي لحزين لما ساءك وما أراه من الضيقة عليك ليس بسعة ولا راحة عليّ وإنّي لشريكك في البلاء ولا أرجو لنفسي الخلاص إلّا *بما أرجوه لك من الخلاص فهو الذي عطّفني عليك,قال الجرذ ولا أكذب إنّي كلّما أراه ضُيّق عليك فهو لي سعة وراحة لكنّني اليوم شريكًا في البلاء ولا أرجو من ذلك لنفسي خلاصًا إلّا الذي أرجو لك من الخلاص فهو الذي عطّفني,قال الجرذ فإنّي أحدّثك ولا أكذب لعمري إنّني إذا رأيت عليك ضيقًا يكون عليّ سعة وراحة ولكنّني اليوم شريكًا معك في البلاء ولا أرجو من ذلك خلاصًا ولكنّ عقلي أمرني بخلاصك وإنّني قادر على ذلك بحول الله وقوّته فهو الذي عطّف قلبي عليك,قال الجرذ لا تكذيب لك لعمري لقد كان يسرّني ما ساءك وأرى ما ضُيّق عليك لي سعة ولكنّي اليوم قد شاركتك في البلاء فلا أرجو لنفسي خلاصًا إلّا بالأمر الذي أرجو لك به الخلاص فذلك الذي عطّفني عليك,قال الجرذ {إنّي أحدّثك حديثًا} لا أكذب فيه لعمري قد كنت أوّلًا يسرّني ما ساءك وأرى ما ضيّق عليك لي سعة ولكنّي اليوم قد شاركتك في البلاء وقد نزل بي من الضنك ما لا يسرّنى به موتك فأنا شريكك ولست أرجو خلاصًا إلاّ بالذى أرجو لك فيه الخلاص فذلك هو الذي عطّفنى عليك وأنت أيضًا فليس أحد أقدر على معونتك وتخليصك من هذه الورطة منّي,فقال الجرد لا كدت لعمري لقد كنت وأنا يسرّني ذلك وكلّما يسوءك وأرى ما ضيّق عليك لي سعة ولكن قد شاركتك في البلاء فلست أرجو لنفسي خلاصًا إلّا بالذي أرجو لك به فقد عطفني لك عليك,قال الجرذ قد لعمري كنت وأنا ليسرّني ما ساءك وإنّ ما ضُيّق عليك سعة لي ولكنّي اليوم قد شاركتك في البلاء فلا أرجو لنفسي خلاصًا إلّا بالأمر الذي أرجو لك به الخلاص فذلك الذي عطّفني عليك,قال الجرذ لا كذب لقد كان قبل اليوم كنت وأنا يسرّني ما ساءك وأرى ما ضُيّق عليك سعة ولكن قد شاركتك اليوم في البلاء فلست أرجو لنفسي خلاصًا إلّا بما فيه خلاصك فعطّفني ذلك عليك,قال الجرذ لا أكذب فإنّ الكذب مكروه لعمري لقد كنت وأنا يسرّني ما ساءك وأرى ما ضيّق عليك لي سعة وأشتهي مع ذلك حضور أجلك ولكنّي لقد شاركتك في البلاء وقد نزل بي من الشرّ ما لا يسرّني معه ضيق مكانك ولست أرجو لنفسي خلاصًا إلاّ بالذي أرجوه لك وأنت أيضًا ليس أحد يقدر عليك ولا على تخليصك من هذا المكان غيري وأنا على شرف حتف من ابن العرس والبومة فذلك الذي عطفني عليك
26,919f8eba-f500-4648-bdbe-353e25737b67,The Rat Proves His Sincerity,وأنا على شرف حذر من ابن عرس والبومة فإنّهما يرصدان وأنا ضعيف لا أطيق دفعها فإن كنت أنت أمنتني من نفسك وضمنت لي الخلاص من غيرك ممّن قد اكتنفني ورصدني أنقذتك ممّا أنت فيه وخلّصتك من وثاقك فانتهز ذلك *وعاونّي على خلاصك وخلاص نفسي,وأنا حذر من ابن عرس والبومة فإنّهما يرصداني وأنا ضعيف لا أقدر على دفعهما فإن أنت آمنتني من نفسك وضمنت لي الخلاص من غيرك قد أخافني وأرصدني أنقذتك ممّا أنت فيه وخلّصتك من وثاقك فانتهز ذلك وعاونّي على خلاصك وخلاص نفسي,وإنّما على †ىعرف †حدر من ابن عرس والبومة فإنّما يرصداني وأنا ضعيف لا أطيق دفعهما فإن أنت أمّنتني من نفسك وضنت لي الخلاص من غيرك مّمن قد اكتنفني ورصدني أنقذتك ممّا أنت فيه وخلّصتك من وثاقك فاغتنم ذلك,وابن عرس ها هو كامن لي والبوم يرصدني وكلاهما لي ولك عدوّ فإن أنت جعلت لي الأمان قطعت حبائلك وخلّصتك من هذه الورطة فإذا كان ذلك تخلّص كلّ واحد منّا بسبب صاحبه,وستعلم مقالتي لك أنّها ليست بزور ولا باطل فأنت تدري مكان ابن عرس كامنًا لي والبومة على الشجرة تريد اختطافي وكلاهما لي ولك عدوّ وهما بعد ذلك يخافانك ويتّقيانك فإن رأيت أن تؤمّنّي حتّى أقطع لك حبائلك وأخلّصك ممّا أنت فيه فعلت فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفاتهما,إذا دنوت منك فأنجو منهما فإنّي سأقطّع حبائلك وأخلّصك ممّا أنت فيه فاطمأنّ لما ذكرت لك وثق به وستعرف صدق مقالتي أنّه ليس فيها كذب ولا مخادعة فقد ترى مكان ابن عرس كامنًا لي ومكان البومة تريد اختطافي وكلاهما لك ولي عدوّ وهما يخافانك ويتّقيانك فإن أنت جعلت لي أن تؤمّنني,وستعرف مقالتي إن يكن فيها كذب أو خديعة وقد ترى مكان ابن عرس وهو كامن لي والبومة على الشجرة تريد اختطافي وكلاهما عدوّ لي ولك فإن رأيت أن تجعل لي ذمامًا وعهدًا إن أنا دنوت منك أن تؤمّنني على نفسي [وا] وأنجو بذلك وأنا قاطع حبالك ومخلّصك ممّا أنت فيه *فاطمئنّ إلى ما ذكرت لك وثق به منّي فإنّه ليس أحد يخشى من اثنين منزلهما واحد وأجناسهما مختلفة أحدهما من لا يُؤمّن به والآخر من لا يُوثق به إلّا تمسّك [بما] بمن مالت نفسه إليه منهما,وستعرف مقالتي إن يكون فيها كذب وخديعة وقد ترى مكان ابن عرس كامنًا لي والبومة على الشجرة تريد اختطافي وكلاهما عدوّان لي ولك فإن رأيت أن تجعل لي ذمامًا إن أنا دنوت منك أن تؤمّنّي فأنجو بذلك منهما وأنا قاطع حبالك ومخلّصك ممّا أنت فيه فاطمئنّ إلى ما ذكرت لك *وثق به منّي,وستعرف مقالتي أنّ ما فيها كذب ولا خلل ولا خديعة وقد ترى مكان ابن عرس كيف كامنًا لي والبومة على الشجرة تريد *اختطافي وكلاهما عدوّان لي فإن رأيت أن تجعل لي عهدًا وميثاقًا إن أنا دنوت منك كي أقرض حبالك وأخلّصك تؤمنّي على نفسي فننجوا بذلك منهما وأخلّصك ممّا أنت فيه من الضنك فاسمع منّي واطمئنّ إليّ بما ذكرته لك وثق به منّي,وستعرف في مقالتي أن ليس فيها ريب ولا مخادعة فإنّه قد ترى مكان ابن عرس كامنًا لي والبومة تريد اختطافي وكلّهم لي ولك عدوّ وهما يخافانك ويهابانك فإن أنت جعلت لي أن تؤمّنّي إن أنا دنوت منك فأنجو بذلك منهم فإنّي مخلّصك ممّا أنت فيه فاطمئنّ إلى ما ذكرت وثق بي,وستعرف صدق مقالتي وأنّه ليس فيها كذب ولا مخادعة قد ترى مكان ابن عرس كامنًا لي ومكان البومه تريد اختطافي وكلاهما لي عدوّ وهما يخافاك ويتّقيانك فإن أنت أمّنتني وعاهدتني ألّا تقتلني دنوت منك وقطعت حبالك وخلّصتك ممّا أنت فيه ونجوت بذلك فاطمئنّ إلى ما ذكرت وثق به منّي,وستعرف مقالتي أنّها ليست بزور ولا خِلابة ولا خديعة فإنّك ترى مكان ابن عرس كامنًا لي والبومة تريد اختطافي وكلاهما لي ولك عدوّ وهما يخافانك ويتّقيانك فإن جعلت لي أن تؤمّنّي إذا دنوت منك فأنجو منها بك وأقطع حبالك ثمّ أخلّصك ممّا كنت أنت فيه فعلت,وستعرف مقالتي أنّه ليس فيها كذب ولا مخادعة قد ترى مكان ابن عرس كامنًا لي ومكان البومة تريد اختطافي وكلاهما لي ولك عدوّ وهما يخافانك ويتّقيانك وإن أنت جعلت لي إن أنا دنوت منك أن تؤمّنني فأنجو بذلك منهما فأنا قاطع حبائلك ومخلّصك ممّا أنت فيه فاطمأنّ إلى ما ذكرت لك وتؤمّنني به,وستعرف في مقالتي صدقها وأنّه لا مخادعة فيها انظر أترى مكان ابن عرس كامنًا ومكان البومة مشرفة وكلاهما لي ولك عدوّ غير أنّهما لك خائفان فإن أنت أمّنتني وحلفت وجعلت لي أن تمنعني ممّا تمنع به نفسك دنوت منك فقطّعت حبائلك وخلّصتك ممّا أنت فيه فثق بما أقول واطمئنّ إليه,وستعرف من مقالتي أنّها ليست بزور ولا خديعة ولا *محايلة فقد ترى مكان بن عرس كامنًا لي ومكان البومة تريد اختطافي وكلاهما لي ولك عدوّ وهما يخافانك ويتّقيانك وأنا ضعيف لا أطيقهما فإن أنت أمّنتني من نفسك وضمنت لي الخلاص من غيرك ممّن قد اكتنفني وأرصدني أنقذتك ممّا أنت فيه وقطعت حبالك وخلّصتك من وثاقك فكما إنّي أحبّ بحياتي حياتك فكذلك أنت حقيق أن تحبّ بحياتك حياتي فاطمئنّ إلى ما ذكرت لك وثق به منّي
27,e5413dbc-0717-4980-a6ac-a3288a02785a,People Fail without Mutual Trust,,,,,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفاتهما مختلفة فأحدهما لا يثق بالآخر,فإنّه ليس أجد أبعد من الخير من اثنين أحدهما أن لا يثق به والآخر أن تكون لا يثق بأحد,,فإنّه ليس أحد !أحسن من اثنين منزلتهما واحدة وأجناسهما مختلفة أحدهما لا يُؤمن به والآخر ممّا لا يثق به,فإنّه ليس أحد !أحسن من اثنين منزلتهما واحدة وأجناسهما مختلفة أحدهما من لا يُؤمن به والآخر ممّا لا يثق به,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق بأحد والآخر من لا يثق به أحد,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق بأحد والآخر من لا يثق به أحد,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصفتهما مختلفة وأحدهما لا يثق والآخر لا يُوثق به,فإنّه ليس أحد أبعد من الخير من اثنين *منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق به أحد والآخر من لا يثق بأحد,فإنّه ليس أحد أبعد من الخير إلّا اثنان منزلتهما واحدة وصفتهما مختلفة أحدهما من لا يثق بأحد والآخر من لا يثق به أحد,فإنّه ليس أحد أبعد من الخير من اثنين منزلتهما واحدة وصنعتهما مختلفة وآحدهما لا يثق به آخر
28,8e5140d3-e06e-49fa-ab7f-88ca274049d1,The Rat Promises Faithfulness,,,,,ولك عندى بما جعلت الوفاء على نفسي فاقبل قولي ونصحي وعجّل ذلك قبل مجيء القانص,ولك عندي الوفاء بما جعلت لك على نفسي فاقبل منّي واسترسل إليّ ولا تؤخّر الثقة بي,وقد بذلت لك ما عندي من الوفاء وقرنت حياتي بحياتك فاقبل منّي واسترسل إلى قولي ولا تؤخّر ذلك,ولك الوفاء عندي بما جعلت من نفسي فاقبل منّي واسترسل إلى قولي ولا تؤخّر ذلك,ولك الوفاء عندي بما جعلت من نفسي فاقبل منّي وأصغي إلى كلامي ولا تؤخّر ذلك لأنّ في تأخيرك هلاكك وهلاكي أيضًا,ولك عندي الوفاء بما جعلت لك من نفسي فاقبل منّي واسترسل إليّ وعجّل ذلك ولا تؤخّر,ولك عندي الوفاء بما جعلت لك من نفسي فاقبل ذلك منّي واسترسل إليّ ولا تؤخّر الأمر ما استطعت,ولك عندي الوفاء بما جعلت لك على نفسي فاقبل مني واسترسل إلىّ وعجّل ذلك,ولك الوفاء عندي بما جعلت لك من نفسي فاقبل منّي واسترسل إليّ ولا تؤخّر,وإنّ لك عندي الوفاء بما جعلت لك من نفسي فاقبل منّي واسترسل إليّ ولا تؤخّر العمل فلعلّ الصيّاد يأتيك فتلقى ما تكره وأقع فيما لا أحبّ,ولك عندي الوفاء بما جعلت لك على نفسي فاقبل منّي واسترسل إليّ وعجّل ذلك ولا تؤخّر
29,9df23ced-7abd-4df3-9b2d-f5e089acd64f,The Intelligent Does Not Postpone Action,,,,,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر علمه,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله في حينه,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله,فإنّ العاقل لا يؤخّر عمله
30,eb4a0dd4-9931-4bf4-9776-57190cbc3d2e,The Cat Should Desire Common Rescue,,فإنّه كما أحببت بحياتي حياتك فلذلك أنت أيضًا حقيق أن تحبّ بحياتي حياتك وخلاصي وخلاص نفسك,وعاونّي في خلاصك وخلاص نفسي فإنّي كما أحببت بحياتي حياتك فكذلك أنت حقيق أن تحبّ بحياتك حياتي وخلاص نفسي,,لأنّ كلّ واحد منّا إنّما ينجو بصاحبه,ولتطب نفسك ببقائي كما طابت نفسي ببقائك,ولتطب نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا لا ينجو إلّا بصاحبه,ولتطب نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا لا ينجو إلّا بصاحبه,ولتطب نفسك ببقائي كما طابت نفسي ببقائك,ولتطب نفسك ببقائي كما طابت نفسي ببقائك,فلتطِبْ نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا إنّما ينجو بصاحبه,ولتطب نفسك ببقائي كما طابت نفسي ببقائك,ولتطبْ به نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا ينجو بصاحبه,ولتطب نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد منّا سبب خلاصه بصاحبه بعون الله تعالى,ولتطب نفسك ببقائي كما طابت نفسي ببقائك فإنّ كلّ واحد ينجو بصاحبه
31,bdd68c89-7a27-4565-99fa-daffa41b9795,Sailors Depend on Ships and Vice Versa,وكما أنّ نجاة الناس من البحر بالسفن ونجاة السفن بالناس,كما أنّ نجاة الناس من البحر بالسفينة ونجاة السفينة بالناس,وكما أنّ نجاة الناس من البحر بالسفن,كالسفينة والركّاب في البحر فبالسفينة ينجون وبهم تنجو السفينة,كأصحاب السفينة الذي نيّاتهم كلّها واحدة,فإنّ كلّ واحد منّا ينجو بصاحبه كالسفينة والركّاب في البحر فالسفينة تنجي الركّاب وهم منجون السفينة,كالسفينة والركّاب في البحر فنجاة الركّاب بالسفينة ونجاة السفينة بالركّاب,كالسفينة والركّاب في البحر فنجاة الركّاب بالسفينة ونجاة السفينة بالركّاب,فإنّ كلّ واحد منّا لا ينجو إلّا بالآخر كالسفينة والركّاب في البحر فنجاة الركّاب بالسفينة ونجاة السفينة بالركّاب,فإنّ كلّ واحد منّا ينجو بصاحبه كالسفينة والركّاب في البحر فبالسفينة تخرج الركّاب وبالركّاب تخرج السفينة,كالسفينة في البحر إنّما تنجو بالركّاب وبالسفينة ينجو الركّاب,فإنّ كلّ واحد منّا ينجو بصاحبه كالسفينة والركّاب يتخلّص بها أهلها ثمّ تخرج بهم فيتخلّص,كالسفينة والركّاب في البحر بالسفينة تخرج الركّاب من البحر وبهم تخرج السفينة,كما أنّ السفينة والركّاب في البحر تخرج السفينة بالركّاب وبهم تخرج السفينة,كما أنّ نجاة الناس من البحر بالسفن إذا ركبوها ونجاة السفن بالناس إذا صوّبوها
32,e3559fe0-79b6-4654-a7c6-9d159b842425,Cooperation Ensures Delivery for Both,فكذلك ترجو أن نصير إليه بالتعاون إلى الخلاص جميعًا من هذه البليّة,فلذلك نرجو أن نصير بالتعاون إلى الخلاص جميعًا من هذه البليّة,فكذلك نرجو أن نصير بالتعاون إلى الخلاص جميعًا من هذه البليّة,,,,,,,,كذلك أيضًا بالتعاون منّي ومنك نرجو الخلاص من هذه البليّة,,,,كذلك نصير بالتعاون إلى الخلاص جميعًا من هذه البليّة
33,745a4a65-ddd4-4b9d-aa60-08523f7ffa73,Everything Happens According to Fate,,,,,,,,,,,,,,وكلّ ذلك تأتي عليه مقادير بما هو آت,
