unit_order,unit_id,unit_title,P2789,P3465,M487,P3466,P3473,A4095,L8751,P5881,L4044
11,dd6fb840-effc-4d8a-b4a1-e3024ba65c86,Monk Dislikes Dates,,,,,,,,,
12,cbeecf3a-61d3-43f6-b7f4-f98b1af8749b,Enough Good Fruit At Home,مع أنّي <لست> براغب فيه وأرضنا كثيرة الثمار والفواكه فلا حاجة مع كثرة ثمارها إلى النخل ولا إلى الثمر مع وخامته وقلّة موافقته للجسد,مع أنّي لست راغبًا في الثمر وأن بلادنا كثيرة الأثمار فما حاجة من كثرة ثمارها إلى الثمر مع وخامته وقلّة موافقته للجسد,,مع أنّه إن لم يكن فيها تمر فإنّ فيها من الثمار ما يغني عن التمر فإنّه من لم يقدر على التين وغيره من الثمار فما حاجته إلى التمر مع وخامته وثقله وقلّة موافقته للجسد,,مع أنّه إذ لم يكن فيها فإنّ هنالك من الثمار ما أكتفي به فإنّه من يقدر على التين وما أشبهه من حلو الفاكهة يجزيه ويقضي منه حاجته هذا مع وخامة التمر وقلّة موافقته للجسد,مع أنّه إن لم يكن فيها نخل فإنّ فيها من الثمار ما أكتفى به فإنّه من يقدر على التين وما أشبهه من حلو الفاكهة فإنّه يجزيه ويقضى منه حاجته مع وخامة التمر وقلّة موافقته للجسد,مع أنّ فيها من الفواكه ما أكتفي به فإنّه من يقدر على التين وما أشبهه من حلاوة الفاكهة فإنّها تكفيه وخامة التمر وقّلة موافقته للجسد,مع أنّه إذ لم يكن عندنا قد اكتفينا بغيره من الثمار فإنّه من يقدر على التين وغيره من الثمار فما حاجته إلى التمر مع وخامته †وفانه موافقته للجسد
13,0f82a65b-e05d-4de3-97c1-72ec1d143288,Guest Ask For Seeds,,,,,ثمّ قال أرى أن تساعدني على أن آخذ منها ما أغرسه في أرضنا فإنّي لست بعارف من أرضكم هذه ولا بمواضعها,,,,
14,080800a6-f3c9-48f0-a1de-9430c70f0a27,Monk Refuses,,,,,فقال له الناسك ليس لك في ذلك راحة وإنّ ذلك يثقل عليك وتنال منه تعب *ومضرّة ومشقّة ويضرّك غاية الضرر ولعلّ ذلك لا يوافق أرضكم,,,,
15,c7fb2540-bef6-404d-bb5f-099af29d5057,Dont Seek Unattainable,فقال له الناسك أنّه يُعدّ حليمًا سعيدّا [[مع]] من احتاج إلى ما لا يجد وليس بمقدور عليه فتشره نفسه وتقبل على ضرّه وتدخل عليه المشقّة من ذلك,فقال له الناسك إنّه لا يعدّ حليمًا في طلب ما لا يجد,قال الناسك إنّه لا يُعدّ سعيدًا من احتاج إلى ما يجده فتشره لذلك نفسه ولا يقدر على الصبر عنه,فإنّه لا يعدّ سعيدًا حليمًا من طلب ما لا يجد فتشره لذلك نفسه ولا يقدر على الصبر عنه فيرجع عليه من ذلك غمّه وهمه,,قال الناسك إنّه لا يُعدّ سعيدًا من احتاج إلى ما <لا> يجد وليس بمقدور عليه فتشره لذلك نفسه ويقلّ عنه صبره ويصل إليه من ثقل ذلك واغتمامه ما يُضرّ به ويدخل المشقّة عليه,فقال الناسك إنّه لا متعدّيًا من احتاج إلى ما لا يجد وليس بمقدور عليه فتشره لذلك نفسه فيقلّ عنه صبره ويصل إليه من ثقل ذلك واغتمامه ما يضرّ به يدلّه على المشقّة عليه,فقال له الناسك إنّه لا يُعدّ سعيدًا من احتاج إلى ما لا يجد وليس هو بمعدود في ذلك,فقال له الناسك إنّه لا يعدّ سعيدًا من احتاج إلى ما لا يجد ولا يقدر على الصبر عنه فيرجع عليه من ثقل ذلك وغمّه ما يُضرّ به
16,9cc26105-be37-439f-9c0c-dd6ea69b4027,Be Satisfied With What You Have,وأنت حليم سعيد الجدّ في فعالك إذا اقتنعت بذلك الذي تجد وزهدت فيما لا تجد وصبرت نفسك ورضيت,وإنك سعيد الجداد قنعت بالذي تجد وزهدت فيما لا تجد,وأنت سعيد الجدّ إذا قنعت بما وجدت وزهدت فيما لم تجد,قال له الناسك أنّك أنت سعيد حين قنعت بما تجد وزهدت فيما لا تجد وصبّرت نفسك عنه ورضيت بما وجدت,فالأولى لك أن تقنع بما تجد وتزهد فيما لا تجد وتصرف نفسك عن ذلك,وأنّك أنت العظيم الجدّ الجزيل الحظّ حين قنعت بما رُزقت وزهدت فيما لا تظفر به ولا تدرك طلبتك منه,وإنّك أنت العظيم الجزيل الحظّ حين قنعت زرقت وزهدت فيما تظفر به ورشدت,,وأنت سعيد الجدّ بما تجد وزهدت فيما لا تجد وصرفت نفسك عنه ورضيت بما تجد
17,524b3e5b-a446-4e59-adc5-82ea87c982a2,Guest Praises Monk,قال الضيف قد وفّقت ورشدت,,,,فقال الضيف وُفّقت وأُرشدت,قال الضيف وُفّقت ورشدت,,فقال له الضيف قد وُفّقت أيّها الناسك ورشدت للصواب,
18,9ba6963c-dc82-4aaa-9a2a-dfa9f0da39a6,Monk Spoke Hebrew,وكان الناسك يتكلّم بالعبرانيّة,,وكان الناسك يتكلّم بالعبرانيّة,وكان الناسك يتكلّم بالعبرانيّه,وكان الناسك يتكلّم بالعبرانيّة,,,وقد سمعت منك كلامًا عبرانيًّا أعجبني [[فإنّ]] لي فيه رغبة وأنا على معرفته وعلمه حريصًا,وكان الناسك يتكلّم بلسان العبرانيّة
19,01b0511c-60ad-483c-a8c4-b2ba4a5ba1c9,Guest Fancies Hebrew,فاستحسن الضيف كلامه وأعجبه وقال للناسك قد سمعت منك كلامًا عبرانيًّا وقد أعجبني وأستحسنته فلو علّمتنيه فإنّ لي فيه رغبة وأنا عليه حريص,قال الضيف لو علّمتني بهذا اللسان فإنّ لي فيه رغبة,فاستحسن كلامه وأعجبه,فاستحسن الضيف كلامه وأعجبه,فاستحسن الضيف كلامه وأعجبه فقال للناسك قد سمعت منك كلامًا عبرانيًّا وقد أعجبني واستحسنته فإن علّمتني إيّاه فلي فيه رغبة وأنا عليه حريص,وقد سمعت منك كلامًا عبرانيًّا أعجبني فاستحسنته فلو علّمتنيه فإنّ لي فيه رغبة وأنا عليه حريص,وقد سمعت منك كلامًا عبرانيًّا فاستحسنته فلو علّمتنيه فإنّ لي فيه رغبة وعليه حرص,,فاستحسن الضيف كلامه وأعجبه
20,504791f2-ae6e-410f-b929-53987fc4d526,Guest Tries To Learn Hebrew,فتكلّف الضيف أن يتعلّمه وأضجر الناسك أيّامًا وعالج نفسه على ذلك مرّة,فتكلّف الضيف ان يتعلّمه وعالج في ذلك نفسه أيّامًا,فتكلّف أن يعلمه نفسه بذلك أيّامًا,فتكلّف أن يتعلّمه وعالج على ذلك نفسه أيّامًا,فتكلّفا أنّ يُعلّمه وراض نفسه على ذلك أيّامًا,,,,فتكلّف أن يتعلّمه وعالج نفسه على ذلك أيّامًا فلم يحسنه
21,86fa45a1-6f4a-476c-b354-32361acc00d6,Mention Crow Story,فقال له الناسك ما أخلقك أن تقع فيما تركت من كلامك وتكلّفت من تعليم كلام العبرانيّة فتكون مثل ما وقع فيه,فقال الناسك لضيفه ما أخلقك أن تقع فيما تركت من كلامك وتكلّفت من كلام العبرانيّة كما وقع فيه الغراب,فقال له الناسك ما أحقّك أن تقع فيما تطلبه من التعليم للسان العبرانيّ فيما وقع فيه الغراب,فقال له الناسك ما أخلقك أن تقع فيما تركت من كلامك وتكلّفت من كلام العبرانيّة فيما وقع فيه غراب مرّة,قال الناسك ما أخلقك فيما تركت كلامك الذي تحسنه وتكلّفت من تعلّم كلام لم تحسنه وإنّما مثلك في ذلك مثل الغراب حيث وقع فيما لا يعرفه وفاته ما يعرفه,فقال الناسك ما أخلقك أن تقع فيما تركت من كلامك وتكلّفت من كلام العبرانيّة في مثل ما أصاب,قال الناسك ما أخلقك أن تقع ممّا تركت من كلامك وتكلّفك من كلام العبرانيّة مثل ما أصاب الغراب,قال الناسك أخاف أن يُصيبك في ذلك ما أصاب الغراب,فقال الناسك لضيفه ما أخلقك أن تقع فيما تركت من كلامك وتتكلّف من تعلّم كلام العبرانية ما وقع فيه الغراب مرّة
22,6ea4fb52-abe1-40fb-8c43-ce57213f4605,Guest Request Crow Story,الغراب فقال الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك,الغراب قال الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك,قال له الضيف وكيف كان ذلك,قال الضيف وكيف كان ذلك
23,c99809bb-22f1-4a50-a49a-1b49a04cb3e1,. Crow Story Intro,قال الناسك (حكاية) زعموا أنّ غرابًا رأى حجلة وهي طائر لطيف الصورة شبيه بالقطا وهي تمشي وتدرج درجانًا فأعجبه مشيتها وطمع أن يتعلّمهما فراض بها نفسه أيّامًا فلم يقدر على إحكامها,قال الناسك زعموا أنّ غرابًا رأى حجلة تدرج وتمشي فأعجبه مشيها وطمع أن يتعلّمه فراض على ذلك نفسه فلم يقدر على إحكامها وأيس منها,قال الناسك زعموا أنّ غرابًا رأى حجلة تمشي فأعجبه مشيها وطمع أن يمشي مشي الحجلة,قال الناسك زعموا أنّ غرابًا رأى حجلة تدرج فأعجبه مشيها وطمع في تعليم تلك المشية وراض نفسه بها ليتعلّمها,قال الناسك زعموا أنّ غرابًا مرّ بحجلة تدرج فأعجبه مشيها فطمع أن يتعلّم ذلك فراض نفسه زمانًا فلم يقدر على ذلك,قال الناسك زعموا أنّ غرابًا رأى حجلة تدرج فأعجبه مشيها فطمع في تعليمها فراض نفسه فلم يقدر على إحكامها,قال الناسك زعموا أنّ غرابًا مرةّ رأى حجلة تدرج فأعجبه مشيها فطمع في تعليمه وراض نفسه عليه فلم يقدر على ذلك ولا على إحكامه,قال الناسك زعموا أنّ غرابًا رأى حجلة تدرج فأعجبه مشيها وطمع في تعليمه ذلك وراض نفسه في ذلك مرارًا فإذا هو لم يدركها فبقي حيرانًا مترددًا,فقال الناسك زعموا أنّ غرابًا رأى مرّة حجلة وهي تدرج فأعجبته مشيتها وطمع في تعلّمها وراض نفسه عليها ولم يقدر على إحكامها
24,25b66831-4b0e-4449-98a6-d2b514e8fc46,. Crow Walks Slow,*لأن الغراب مشيته ثقيلة والحجل يدرجون شبيهًا بالقطا,,,,,,,,
25,769dc9db-29b3-4a86-9fc7-5de024329b22,. Crow Lost Original Walk,فأيس منها وأراد أن يعود إلى [[طلب وعاد يتخلّع في مشيته فصار أقبح الغربان]] مشيته التي كان يُحسن فإذا هو قد نسيها ولم يدرك ما طلب,وأراد أن يعود الي مشيته التي كان يحسن إليها فإذا هي قد اختلّت وتخلّع في مشيته,فلمّا يئس منها أراد أن يعود إلى مشيته الأولى فلم يحسن الرجوع إليها فتحيّر في نفسه (انتهى),فترك مشيته التي كان يحسن ولم يهتدي إلى الرجوع فتخلّع في مشيته ولم يهتد إليها وتحيّر,وآيس منه ثمّ أراد أن يعود إلى مشيته الأولى فاختلّت عليه,فانصرف إلى مشيته التي كان عليها فلم يحسن فبقي حيران متردّدًا لم يدرك ما طلب ولا يحسن لما كان في يده الحفظ,وانصرف إلى مشيته فإذا هو قد نسيها,لا يدرك ما طلب ولم يحسن ما كان من مشيته الأولى أبدًا,فانصرف إلى مشيته التي كان عليها فإذا هو لا يحفظها فصار حيران متردّد لم يدرك ما طلب ولم يحسن لما كان في يديه حفظًا
26,9f1164f9-c6a2-4b3f-ab2d-8eb39e32b64b,. Crow Ugly Gait,وعاد يتخلّع في مشيته فصار أقبح الغربان مشية ولم يحسن الحفظ لما كان في يده وكان يظنّ أن سيكون أحسن الغربان مشية,وصار أقبح الطير مشيًا ولم يحسن الحفظ لما كان فيه,,وصار أقبح الغربان مشيًا,,,,,
27,2cc659c7-9d0d-4727-9110-c04d73bd27ad,. Crow Lost What It Had,,,,,,,فصار حيرانًا متلدّدًا لم يدرك ما طلب ولم يحسن الذي كان في يديه,,
28,f94cc64a-1957-40f0-bc78-b684481ff238,Monk Motivates Story,وإنّما ضربت لك هذا المثل لما رأيت منك أنّك تركت لسانك وتكلّفت لسان العبرانية وهي لا تشاكلك وأخاف أن لا تدركها وتنسى لسانك فترجع إلى أهلك وأنت أشرّهم لسانًا,وإنّما ضربت لك هذا المثل لما رأيت منك أنّك إن تركت وأقبلت على العبرانيّة وهو لايشاكله وأخاف أن لا تدركه وتنسى لسانك وترجع إلى أهلك وأنت أشرّهم لسانًا,وما أخلقك أن يُصيبك مثل ذلك في كلامك ولسانك وأقبلت على لسان العبرانيّة تريد أن تتكلّم,وإنّما ضربت لك هذا المثل لأنّك خليق إن تركت لسانك وتكلّفت لسان العبرانية آن لا تدركه وتنسى لسانك فترجع إلى أهلك وأنت أشرّهم لسانًا,فقال ما أقبح فعال من يطلب ما لا يُدرك ويضيّع ما في يده وإنّما ضربت لك هذا المثل لما رأيت منك فإنّك تركت لسانك الذي طُبعت عليه وأتيت على لسان العبرانيّة التي لا تشاكلك وأخاف أن لا تدركها وتنسى لسانك الذي قد عرفته وألفته,وإنّما ضربت لك هذا المثل لتعلم أنّك خليق إن تركت لسانك وتكلّفت علم ما لا يشاكلك من كلام العبرانيّة لم تدركه وأن تنسى الذي كان في يدك من غيره,وإنّما ضربت لك هذا المثل لتعلم أنّك خليق إن تركت لسانك وتكلّفت بما لا يشاكلك من كلام العبرانيّة ولا تدركه تتناسى الذي في يديك ففي ذلك عبرة,وإنّما ضربت لك هذا المثل لتعلم أنّك إذا تركت لسانك وتكلّمت شيئًا لا يُشاكلك من كلام العبرانيّة أنّك لا تدركه وتنسى الذي كان قبله,وإنّما ضربت لك هذا المثل لتعلم أنّك خليق إن تركت لسانك وتكلّفت علم ما لا يشاكلك من كلام العبرانيّة لا تدركه وأن تنسى الذي كان في يدك من غيره
29,fea6ad90-fe42-404b-b21e-f34925fdec83,Dont Seek Foreign Things,فإنّه قد قيل في كلام الأمثال مثلًا أنّه يُعدّ جاهلًا من الأمور ما لا يشاكله وليس من أهله ولم يؤدّبه عليه آباؤه من قبل وأجداده ولا يُعرفون بمثله,فإنّه قد إنّه قيل من يعدّ جاهلا الأمور ما لا يشاكله وليس من ولا يوجد عليه آباؤه وأجداده ولا يعرف مثله,به وقد قيل أنّه يُعدّ جاهلًا من تكلّف من العمل ما لا يطيقه وليس من أهله ولم يُذكر به آباؤه وأجداده ونقله بعدهم,فإنّه يُعدّ جاهلًا من تكلّف من العلم ما لا يشاكله وليس بعمله ولم يؤدّبه عليه آباؤه وأجداده من قبل ولا,وقد قيل يُعدّ جاهلًا من تكلّف من الأمر ما لا يشاكله وليس هو من أهله ولا يؤدّبه عليه [أبا] آباؤه ولا أجداده ولا يعرفون مثله,فإنّه قد قيل يُعدّ جاهلًا من حاول من الأمور ما لا يشبهه وليس من أهله ولم يدركه آباؤه ولا أجداده من قبله ولا يُعرفون به,فإنّه قد قيل يُعدّ جاهلًا من حاول من الأمور ما لا يشبهه وليس من أهله ولم يدركه أبواه ولا أجداده من قبله ولا يُعرفون به,فإنّه قد قيل يُعدّ جاهلًا من حاول أمرًا من الأمور ممّا لا يشاكله ولا يليق به ولا من يُذكر به آباؤه ولا من كان قبله من أقاربه ولا يعرفون به أهله,فإنّه قد قيل يعدّ جاهلًا من طلب من الأمر ما لا يشبهه وليس من أهله ولم يدركه آباؤه ولا أحد من قبله ولا يُعرفون بمثله
30,01cf00a0-58e2-46a8-9e25-3121c6718502,Changing Governors Harm,واعلم أنّ الولاة لولا سوء تدبيرهم وتركهم الناس يتنقّلون من الطبقات والمنازل من بعضها إلى بعض وذلك إلى غير الذي عُرفوا به وكثرت تجارتهم وجرت معايشهم عليه لتأدّبوا في جميع الأحوال والطبقات,,فذلك من الناس ألزم وأسوء حالًا وتدبيرًا في تركه لنقل أهل الطبقات والمنازل بعضها إلى بعض لأنّ في ذلك فساد الناس وأهل الطبقة العليا إلى الطبقة السفلى وانتشار أمورهم والله أعلم,قلّة تعاهد ذلك من الرعيّة اليوم وسوء التدبير لأهل مملكتهم في تنقّل الطبقات والمنازل من بعضها إلى بعض غير الذي وصفوا به وجرت لهم فيه المعايش والآداب وأعطوا عليه المنزلة لم يدخل المضرّة عليهم لأنّ في ذلك مضرّة الأشراف وفساد الطبقة العليا لأنّ الطبقة السفلى تعلوبها وتنازعها فيقع الأشراف في محاورة اللئام ومنازعتهم إيّاهم منزلتهم فلا يستحسنون مشاقتهم فيعتدون منهم بترك معايشهم ومنافعهم,واعلم أنّ المتكلّفين لأمور ليس لهم بها تعاهد لا ينالون منها ما يبتغون والناس يتقلّبون من الطبقات والمنازل بعضها إلى بعض غير الذي عرفوا ورُكّب في تجاربهم وجرت لهم به العادة وزاد في ذلك فساد الطبقة العليا واختلاف الطبقة السفلى,ثمّ قال الفيلسوف للمَلك فالولاة في قلّة تعاهدهم للرعيّة في هذا وأشباهه ألوَم وأسوأ تدبيرًا لأنّ تنقّل الناس من بعض المنازل إلى بعض فيه صعوبة ومشقّة شديدة,ثمّ قال الفيلسوف للملك فالولاة في قلّة مشاهدتهم الرعيّة في هذا وأشباهه اليوم أسوأ تدبيرًا لأنّ بنقل الناس من بعض المنازل إلى فيه صعوبة ومشقّة شديدة وإذا تساووا صلح الحال وكثرت المنافع واستراح البدن والله الموّفق لكلّ خير,ثمّ قال الفيلسوف للمَلك فالولاة من قبله معرفتهم في هذا وأشباهه أولى بالتدبير في انتقال المُلك والمنازل العالية من بعضهم إلى بعض وتركهم منها ما قد أكرموه أنفسهم,ثمّ قال الفيلسوف للملك فالولاة في قلّة تعاهدهم الرعيّة في هذا وأشباهه ألوم وأسوأ تدبيرًا لأنّ تنقّل الناس من بعض المنازل وتركهم منها ما قد لزموه وجرت المعايش فيه مضرّ بالملوك والتماس من أهل الطبقة السفلى مراتب أهل الطبقة العليا وانتشار من الأمر وفساد من الأدب ومنازعة من اللئيم للكريم
31,0c151ecb-c298-4180-96a1-58671c0b9788,Wrong Ambitions Ruin Society,,,,,,ثمّ أنّ الأشياء في ذلك تجري على منازل حتّى تنتهي إلى الخطر الجسيم من مصادقة المَلك في مُلكه,,وجرت لهم المعاشرة فيه مضرّة الملوك الملوك وأطماعًا لأهل الطبقات السفلى في مراتب أهل الطبقة العليا وانتشار من الأمور وفساد من الأدب ومثل ذلك من اللئيم والكريم والأشياء في ذلك تجري على مثال واحد حتّى تنتهي إلى الخطر الجسيم من مضادّة المَلك في مُلكه قال,<ثمّ> من الأشياء في ذلك تجري على مثال حتّى تنتهي إلى الخطر الجسيم من مضرّة الملك
32,f8ebc2f6-0830-4d99-81bc-52a7eab766e6,Chapter End,انقضى باب الناسك والضيف على التمام والكمال,انقضى باب الناسك والضيف,,,,,,,انقضى باب الناسك والضيف
33,a267ff9c-8218-4ba6-94f6-4ed0a20483e8,End Back To Frame Dialoge,,,,,,فلمّا انتهى المَلك والفيلسوف إلى باب الناسك والضيف سكت المَلك,فلمّا انتهى منطق الملك والفيلسوف إلى باب الناسك والضيف سكت الملك,فلمّا انتهى المنطق بالمَلك والفيلسوف إلى باب الناسك والضيف وما جرى لهم,فلمّا انتهى المنطق بالملك والفيلسوف إلى باب الناسك والضيف سكت الملك
34,90ff04df-d569-49bb-a1db-8a5cd143ba3a,Philosopher Wishes Glory For King,,,,,,وقال الفيلسوف عشت أيّها المَلك ألف سنة ومُلّكت الأقاليم السبعة وأُعطيت من كلّ شيء سببًا وبلغته في سرور منك برعيّتك وقرّة عين منهم بك ومساعدة من القضاء والقدر,وقال الفيلسوف عشت ألف سنة أيّها الملك ومُلّكت الأقاليم وأعطيت من كلّ شيء سببًا وبلغته في سرور برعيّتك وقرّة عين منهم بك ومساعدة من القضاء والقدر,قال الفيلسوف أيّها المَلك عشت ألف سنة ومُلّكت الأقاليم السبعة وأُعطيت من كلّ شيء حظًّا وافرًا وبُلّغت ما تأمله في سرور منك لرعيّتك وقرّة عين منك بهم ومساعدة من القضاء والقدر لك,فقال الفيلسوف أيها الملك عشت ألف سنة ومُلّكت الأقاليم السبعة وأعطيت من كل شيء سببًا وبلغة في سرور منك برعيتك وقرّة عين منهم بك ومساعدة من القضاء والقدر لك
35,dc913525-274a-48bf-bcae-5329b9dc5700,Philosopher Praises Kings Wisdom,,,,,,فلقد كمل منك الحلم وزكي منك العقل والنيّة فلا يوجد في رأيك نقص ولا في قولك سقط ولا في فعلك عيب وجُمع فيك النجدة واللين فلا توجد جبانًا عند اللقاء ولا ضيّق الصدر فيما ينوبك من الأشياء,وإنّه قد كمُل فيك الحلم وزكي منك الحفظ وتمّ منك البأس والجود ونفس منك الفعل والنيّة فلا يوجد في رأيك نقص ولا في قولك سقط ولا في فعلك عيب وجُمع لك النجدة واللّين ولا توجد جبانًا عند اللقاء ولا ضيّق الصدر فيما ينوبك من الأشياء,فإنّك قد أُكمل فيك الحكم والحلم والعلم والعقل وحسن الرأي والقوّة ولا يوجد في رأيك نقص ولا في قولك سقط ولا في فعلك عيب وقد جمعت الجدّ واللين فلا توجد جبانًا عند اللقاء,فإنّه قد كمل فيك الحلم والعلم وزكي منك العقل وحفظ وتمّ فيك البأس والجود واتّفق منك العقل والقول والنيّة فلا يوجد في رأيك نقص ولا في قولك سقط ولا في فعلك عيب وجمعت القوّة واللين فلا توجد جبانًا عند اللقاء ولا ضيّق الصدر فيما ينوبك من الأشياء
